Member No.;Location;Stress;Design;Loading;Forces [kN];;;Moments [kNm];;;Design Check;Design Check;
25;0.000;;DS1;CO1;-27.06;0.00;2.46;0.00;64.77;0.01;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
25;0.150;;DS1;RC1;-58.63;0.33;5.46;0.03;150.16;0.17;0.374;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
25;0.000;;DS2;CO20;-20.03;0.00;1.82;0.00;47.93;0.01;0.000;SE0100.00;Serviceability | Negligible deflections
25;0.075;;DS2;CO27;-40.44;-0.21;3.82;-0.03;104.75;-0.27;0.006;SE1100.00;Serviceability | Deflections in z-direction
25;0.000;;DS1;CO11;-22.06;0.54;1.96;0.10;67.77;0.99;Warning;WA5001.00;Warning | Torsion is neglected for stability design checks
25;;;;;;;;;;;;;
26;Beam | 1 - IPE 500 | L : 0.075 m;;;;;;;;;;;;
26;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
26;0.075;;DS1;CO7;-67.14;0.01;-35.51;0.00;53.70;0.02;0.025;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
26;0.075;;DS1;CO7;-67.14;0.01;-35.51;0.00;53.70;0.02;0.044;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
26;0.075;11;DS1;CO8;-61.46;-0.08;-34.48;-0.03;60.21;0.81;0.057;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
26;0.000;;DS1;CO1;-28.81;0.00;-15.59;0.00;27.25;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
26;0.000;;DS1;CO5;-66.94;0.00;-32.88;0.00;69.56;-0.02;0.135;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
26;0.000;8;DS1;CO9;-61.44;-0.08;-34.22;-0.03;63.64;0.82;0.179;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
26;0.000;;DS1;CO5;-66.94;0.00;-32.88;0.00;69.56;-0.02;0.135;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
26;0.000;;DS1;CO1;-28.81;0.00;-15.59;0.00;27.25;0.00;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
26;0.000;;DS1;CO1;-28.81;0.00;-15.59;0.00;27.25;0.00;0.000;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
26;0.000;;DS1;CO1;-28.81;0.00;-15.59;0.00;27.25;0.00;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
26;0.075;;DS1;RC1;-42.08;0.25;-25.36;0.05;43.40;-1.13;0.192;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
26;0.000;;DS2;CO20;-21.34;0.00;-11.54;0.00;20.18;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
26;;;;;;;;;;;;;
27;Beam | 1 - IPE 500 | L : 4.000 m;;;;;;;;;;;;
27;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
27;0.000;;DS1;CO7;-97.57;1.34;67.38;0.00;0.00;0.00;0.036;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
27;4.000;1;DS1;CO9;-91.32;-1.27;60.14;-0.18;249.54;-0.05;0.024;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
27;4.000;;DS1;CO9;-91.32;-1.27;60.14;-0.18;249.54;-0.05;0.075;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
27;1.000;;DS1;CO8;-94.86;0.03;64.96;-0.03;66.27;-0.03;0.080;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
27;4.000;;DS1;CO9;-91.32;-1.27;60.14;-0.18;249.54;-0.05;0.001;SP3200.01;Section Proof | Shear in y-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
27;4.000;;DS1;CO7;-93.02;-1.30;64.46;-0.09;262.77;-0.01;0.001;SP3200.02;Section Proof | Shear in y-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
27;3.500;11;DS1;CO9;-91.86;-0.96;60.34;-0.15;219.42;-0.61;0.112;SP3400.01;Section Proof | Shear and torsion acc. to EN 1993-1-1, 6.2.6(4) and 6.2.7(5) | Elastic design
27;0.000;11;DS1;CO8;-96.05;0.04;67.55;-0.01;0.00;0.00;0.111;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
27;0.000;;DS1;CO1;-45.24;0.00;28.01;0.00;0.00;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
27;4.000;;DS1;CO7;-93.02;-1.30;64.46;-0.09;262.77;-0.01;0.510;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
27;4.000;4;DS1;CO8;-91.48;0.01;59.31;-0.10;251.22;-0.04;0.589;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
27;3.500;1;DS1;CO7;-93.56;-0.99;64.62;-0.07;230.50;-0.58;0.555;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
27;4.000;;DS1;CO7;-93.02;-1.30;64.46;-0.09;262.77;-0.01;0.510;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
27;0.000;;DS1;CO1;-45.24;0.00;28.01;0.00;0.00;0.00;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
27;0.000;;DS1;CO7;-97.57;1.34;67.38;0.00;0.00;0.00;0.140;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
27;0.000;;DS1;CO1;-45.24;0.00;28.01;0.00;0.00;0.00;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
27;0.000;;DS1;RC1;-97.57;1.34;67.38;0.00;0.00;0.00;1.663;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
27;0.000;;DS2;CO20;-33.52;0.00;20.73;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
27;2.500;;DS2;CO26;-66.23;-0.24;45.37;-0.01;115.19;-0.86;0.139;SE1100.00;Serviceability | Deflections in z-direction
27;2.000;;DS2;CO28;-65.54;0.01;43.28;-0.02;89.08;-0.94;0.027;SE1200.00;Serviceability | Deflections in y-direction
27;3.000;;DS1;CO9;-92.41;-0.64;60.72;-0.11;189.16;-1.02;Warning;WA5001.00;Warning | Torsion is neglected for stability design checks
27;;;;;;;;;;;;;
28;Beam | 1 - IPE 500 | L : 4.000 m;;;;;;;;;;;;
28;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
28;0.000;;DS1;CO5;-97.76;0.00;-65.60;0.00;0.00;0.00;0.036;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
28;4.000;1;DS1;CO9;-91.76;-1.27;-59.84;0.19;-250.13;-0.04;0.025;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
28;4.000;;DS1;CO8;-91.60;0.01;-60.67;0.10;-248.45;-0.03;0.075;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
28;1.000;;DS1;CO5;-96.56;0.00;-65.36;0.00;-65.50;0.00;0.080;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
28;4.000;;DS1;CO9;-91.76;-1.27;-59.84;0.19;-250.13;-0.04;0.001;SP3200.01;Section Proof | Shear in y-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
28;4.000;;DS1;CO4;-91.70;-1.28;-61.69;0.09;-248.04;-0.01;0.001;SP3200.02;Section Proof | Shear in y-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
28;3.500;11;DS1;CO9;-92.30;-0.96;-60.06;0.15;-220.16;-0.61;0.112;SP3400.01;Section Proof | Shear and torsion acc. to EN 1993-1-1, 6.2.6(4) and 6.2.7(5) | Elastic design
28;0.000;11;DS1;CO9;-96.33;1.35;-66.76;0.01;0.00;0.00;0.110;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
28;0.000;;DS1;CO1;-45.22;0.00;-26.42;0.00;0.00;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
28;4.000;;DS1;CO5;-93.20;0.00;-65.26;0.00;-260.89;-0.01;0.506;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
28;4.000;18;DS1;CO9;-91.76;-1.27;-59.84;0.19;-250.13;-0.04;0.588;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
28;3.500;14;DS1;CO9;-92.30;-0.96;-60.06;0.15;-220.16;-0.61;0.532;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
28;4.000;;DS1;CO5;-93.20;0.00;-65.26;0.00;-260.89;-0.01;0.506;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
28;0.000;;DS1;CO1;-45.22;0.00;-26.42;0.00;0.00;0.00;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
28;0.000;;DS1;CO5;-97.76;0.00;-65.60;0.00;0.00;0.00;0.140;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
28;0.000;;DS1;CO1;-45.22;0.00;-26.42;0.00;0.00;0.00;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
28;0.000;;DS1;RC1;-97.76;0.00;-65.60;0.00;0.00;0.00;1.657;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
28;0.000;;DS2;CO20;-33.50;0.00;-19.55;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
28;2.500;;DS2;CO24;-66.37;0.00;-45.28;0.00;-113.55;0.00;0.137;SE1100.00;Serviceability | Deflections in z-direction
28;2.000;;DS2;CO28;-65.83;0.01;-43.31;0.02;-89.69;-0.94;0.027;SE1200.00;Serviceability | Deflections in y-direction
28;2.667;;DS1;CO19;-67.68;-0.29;-42.83;0.10;-125.91;-0.93;Warning;WA5001.00;Warning | Torsion is neglected for stability design checks
28;;;;;;;;;;;;;
29;Beam | 1 - IPE 500 | L : 1.650 m;;;;;;;;;;;;
29;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
29;0.000;;DS1;CO5;-71.59;-0.01;79.42;-0.01;-261.13;0.00;0.026;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
29;1.650;1;DS1;CO11;-25.46;0.45;33.14;0.21;-53.64;-0.07;0.027;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
29;1.155;;DS1;CO13;-22.39;-0.34;34.10;-0.17;-71.24;-0.08;0.042;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
29;0.000;;DS1;CO5;-71.59;-0.01;79.42;-0.01;-261.13;0.00;0.098;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
29;1.650;11;DS1;CO6;-66.35;0.43;76.39;0.10;-120.08;0.19;0.134;SP3400.01;Section Proof | Shear and torsion acc. to EN 1993-1-1, 6.2.6(4) and 6.2.7(5) | Elastic design
29;0.000;11;DS1;CO9;-64.94;-0.19;78.63;-0.02;-250.37;-0.19;0.129;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
29;0.000;;DS1;CO1;-30.73;0.00;34.64;0.00;-108.06;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
29;0.000;;DS1;CO5;-71.59;-0.01;79.42;-0.01;-261.13;0.00;0.506;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
29;0.000;21;DS1;CO16;-45.22;0.29;56.74;0.11;-179.05;0.12;0.415;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
29;0.000;14;DS1;CO9;-64.94;-0.19;78.63;-0.02;-250.37;-0.19;0.580;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
29;0.000;;DS1;CO5;-71.59;-0.01;79.42;-0.01;-261.13;0.00;0.506;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
29;0.000;;DS1;CO1;-30.73;0.00;34.64;0.00;-108.06;0.00;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
29;0.000;;DS1;CO1;-30.73;0.00;34.64;0.00;-108.06;0.00;0.000;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
29;0.000;;DS1;CO1;-30.73;0.00;34.64;0.00;-108.06;0.00;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
29;0.990;;DS1;RC1;-66.49;0.33;77.14;0.07;-170.76;0.25;0.609;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
29;0.000;;DS2;CO20;-22.76;0.00;25.65;0.00;-79.99;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
29;0.660;;DS2;RC2;-17.25;-0.18;25.62;-0.11;-65.12;-0.04;0.096;SE1100.00;Serviceability | Deflections in z-direction
29;0.000;;DS1;CO11;-25.70;0.27;35.12;0.16;-109.96;0.09;Warning;WA5001.00;Warning | Torsion is neglected for stability design checks
29;;;;;;;;;;;;;
30;Beam | 1 - IPE 500 | L : 1.575 m;;;;;;;;;;;;
30;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
30;0.000;;DS1;CO5;-67.07;0.01;35.15;-0.01;56.90;0.02;0.025;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
30;0.000;;DS1;CO5;-67.07;0.01;35.15;-0.01;56.90;0.02;0.043;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
30;0.000;11;DS1;CO9;-60.46;-0.10;34.26;0.04;63.49;0.79;0.056;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
30;0.000;;DS1;CO1;-28.77;0.00;15.11;0.00;27.94;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
30;1.575;;DS1;CO7;-66.74;-0.01;30.57;0.00;119.81;0.04;0.232;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
30;1.575;8;DS1;CO8;-60.31;-0.05;32.09;0.03;116.47;0.81;0.295;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
30;1.575;;DS1;CO7;-66.74;-0.01;30.57;0.00;119.81;0.04;0.232;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
30;0.000;;DS1;CO1;-28.77;0.00;15.11;0.00;27.94;0.00;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
30;0.000;;DS1;CO1;-28.77;0.00;15.11;0.00;27.94;0.00;0.000;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
30;0.000;;DS1;CO1;-28.77;0.00;15.11;0.00;27.94;0.00;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
30;0.000;;DS1;RC1;-62.30;0.10;33.88;-0.03;64.08;-0.79;0.311;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
30;0.000;;DS2;CO20;-21.31;0.00;11.18;0.00;20.68;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
30;0.787;;DS2;CO26;-46.65;0.00;22.06;0.00;66.32;0.01;0.039;SE1100.00;Serviceability | Deflections in z-direction
30;0.630;;DS2;CO32;-15.81;0.09;11.16;0.05;28.44;0.43;0.002;SE1200.00;Serviceability | Deflections in y-direction
30;;;;;;;;;;;;;
31;Beam | 1 - IPE 500 | L : 0.150 m;;;;;;;;;;;;
31;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
31;0.150;;DS1;CO7;-63.37;-0.08;4.88;-0.01;149.07;-0.07;0.023;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
31;0.000;;DS1;CO5;-63.14;-0.06;7.32;-0.01;148.31;-0.07;0.009;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
31;0.000;11;DS1;CO15;-46.86;-0.10;6.46;-0.01;107.36;-0.15;0.011;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
31;0.000;;DS1;CO1;-27.06;0.00;2.46;0.00;64.77;0.01;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
31;0.150;;DS1;CO8;-56.76;-0.24;5.25;-0.01;151.40;-0.08;0.294;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
31;0.150;1;DS1;CO9;-56.74;-0.25;5.42;-0.02;151.42;-0.09;0.357;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
31;0.150;;DS1;CO8;-56.76;-0.24;5.25;-0.01;151.40;-0.08;0.294;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
31;0.000;;DS1;CO1;-27.06;0.00;2.46;0.00;64.77;0.01;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
31;0.000;;DS1;CO1;-27.06;0.00;2.46;0.00;64.77;0.01;0.000;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
31;0.000;;DS1;CO1;-27.06;0.00;2.46;0.00;64.77;0.01;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
31;0.105;;DS1;RC1;-63.36;-0.08;4.94;-0.01;148.84;-0.08;0.375;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
31;0.000;;DS2;CO20;-20.03;0.00;1.82;0.00;47.93;0.01;0.000;SE0100.00;Serviceability | Negligible deflections
31;0.075;;DS2;CO27;-39.78;-0.16;3.74;-0.02;105.21;-0.20;0.006;SE1100.00;Serviceability | Deflections in z-direction
31;;;;;;;;;;;;;
32;Beam | 1 - IPE 500 | L : 0.075 m;;;;;;;;;;;;
32;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
32;0.075;;DS1;CO7;-67.09;0.03;-35.47;0.00;53.68;0.04;0.025;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
32;0.075;;DS1;CO7;-67.09;0.03;-35.47;0.00;53.68;0.04;0.044;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
32;0.075;11;DS1;CO8;-60.50;-0.09;-34.62;-0.04;60.34;0.78;0.057;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
32;0.000;;DS1;CO1;-28.81;0.00;-15.59;0.00;27.25;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
32;0.000;;DS1;CO5;-66.90;0.01;-32.84;0.01;69.48;-0.01;0.135;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
32;0.000;8;DS1;CO9;-60.47;-0.09;-34.35;-0.04;63.78;0.79;0.179;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
32;0.000;;DS1;CO5;-66.90;0.01;-32.84;0.01;69.48;-0.01;0.135;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
32;0.000;;DS1;CO1;-28.81;0.00;-15.59;0.00;27.25;0.00;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
32;0.000;;DS1;CO1;-28.81;0.00;-15.59;0.00;27.25;0.00;0.000;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
32;0.000;;DS1;CO1;-28.81;0.00;-15.59;0.00;27.25;0.00;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
32;0.075;;DS1;RC1;-42.05;0.26;-25.33;0.06;43.37;-1.09;0.191;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
32;0.000;;DS2;CO20;-21.34;0.00;-11.54;0.00;20.18;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
32;;;;;;;;;;;;;
33;Beam | 1 - IPE 500 | L : 4.000 m;;;;;;;;;;;;
33;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
33;0.000;;DS1;CO7;-97.52;1.34;67.33;0.00;0.00;0.00;0.036;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
33;4.000;1;DS1;CO9;-91.37;-1.27;59.84;-0.19;250.13;-0.04;0.025;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
33;4.000;;DS1;CO9;-91.37;-1.27;59.84;-0.19;250.13;-0.04;0.074;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
33;1.000;;DS1;CO8;-94.91;0.03;65.44;-0.03;66.97;-0.03;0.081;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
33;4.000;;DS1;CO9;-91.37;-1.27;59.84;-0.19;250.13;-0.04;0.001;SP3200.01;Section Proof | Shear in y-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
33;4.000;;DS1;CO7;-92.97;-1.30;64.41;-0.09;262.57;-0.02;0.001;SP3200.02;Section Proof | Shear in y-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
33;3.500;11;DS1;CO9;-91.91;-0.96;60.06;-0.15;220.15;-0.61;0.112;SP3400.01;Section Proof | Shear and torsion acc. to EN 1993-1-1, 6.2.6(4) and 6.2.7(5) | Elastic design
33;0.000;11;DS1;CO8;-96.10;0.03;68.46;-0.01;0.00;0.00;0.112;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
33;0.000;;DS1;CO1;-45.24;0.00;28.01;0.00;0.00;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
33;4.000;;DS1;CO7;-92.97;-1.30;64.41;-0.09;262.57;-0.02;0.509;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
33;4.000;4;DS1;CO8;-91.54;0.01;59.01;-0.10;251.82;-0.03;0.591;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
33;3.500;1;DS1;CO7;-93.51;-0.99;64.57;-0.07;230.32;-0.58;0.554;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
33;4.000;;DS1;CO7;-92.97;-1.30;64.41;-0.09;262.57;-0.02;0.509;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
33;0.000;;DS1;CO1;-45.24;0.00;28.01;0.00;0.00;0.00;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
33;0.000;;DS1;CO7;-97.52;1.34;67.33;0.00;0.00;0.00;0.140;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
33;0.000;;DS1;CO1;-45.24;0.00;28.01;0.00;0.00;0.00;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
33;0.000;;DS1;RC1;-97.52;1.34;67.33;0.00;0.00;0.00;1.662;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
33;0.000;;DS2;CO20;-33.52;0.00;20.73;0.00;0.00;0.00;0.000;SE0100.00;Serviceability | Negligible deflections
33;2.500;;DS2;CO26;-66.21;-0.24;45.35;-0.01;115.13;-0.86;0.139;SE1100.00;Serviceability | Deflections in z-direction
33;2.000;;DS2;CO28;-65.56;0.01;43.31;-0.02;89.69;-0.94;0.027;SE1200.00;Serviceability | Deflections in y-direction
33;2.667;;DS1;CO19;-67.42;-0.29;42.83;-0.10;125.91;-0.92;Warning;WA5001.00;Warning | Torsion is neglected for stability design checks
33;;;;;;;;;;;;;
34;Beam | 2 - HEA 160 | L : 4.000 m;;;;;;;;;;;;
34;0.000;;DS1;RC1;0.00;0.00;0.00;0.00;0.00;0.00;0.000;SP0100.00;Section Proof | Negligible internal forces
34;0.000;;DS1;CO7;-12.52;3.16;0.50;-0.01;0.00;0.00;0.014;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
34;0.000;;DS1;CO19;-7.97;-2.90;-5.56;0.01;0.00;0.00;0.031;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
34;0.000;;DS1;CO17;-9.74;5.08;2.04;-0.01;0.00;0.00;0.013;SP3200.02;Section Proof | Shear in y-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
34;0.000;;DS1;CO1;-6.01;0.00;-0.42;0.00;0.00;0.00;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
