Member No.;Location;Stress;Design;Loading;Design Check;Design Check;
25;0.150;;DS1;CO5;0.290;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
25;0.000;8;DS1;CO11;0.178;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
25;0.150;1;DS1;CO9;0.357;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
25;0.150;;DS1;CO5;0.290;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
25;0.000;;DS1;CO1;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
25;0.000;;DS1;CO1;0.000;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
25;0.000;;DS1;CO1;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
25;0.150;;DS1;RC1;0.374;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
25;0.000;;DS2;CO20;0.000;SE0100.00;Serviceability | Negligible deflections
25;0.075;;DS2;CO27;0.006;SE1100.00;Serviceability | Deflections in z-direction
25;0.000;;DS1;CO11;Warning;WA5001.00;Warning | Torsion is neglected for stability design checks
25;;;;;;;
26;Beam | 1 - IPE 500 | L : 0.075 m;;;;;;
26;0.000;;DS1;RC1;0.000;SP0100.00;Section Proof | Negligible internal forces
26;0.075;;DS1;CO7;0.025;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
26;0.075;;DS1;CO7;0.044;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
26;0.075;11;DS1;CO8;0.057;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
26;0.000;;DS1;CO1;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
26;0.000;;DS1;CO5;0.135;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
26;0.000;8;DS1;CO9;0.179;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
26;0.000;;DS1;CO5;0.135;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
26;0.000;;DS1;CO1;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
26;0.000;;DS1;CO1;0.000;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
26;0.000;;DS1;CO1;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
26;0.075;;DS1;RC1;0.192;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
26;0.000;;DS2;CO20;0.000;SE0100.00;Serviceability | Negligible deflections
26;;;;;;;
27;Beam | 1 - IPE 500 | L : 4.000 m;;;;;;
27;0.000;;DS1;RC1;0.000;SP0100.00;Section Proof | Negligible internal forces
27;0.000;;DS1;CO7;0.036;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
27;4.000;1;DS1;CO9;0.024;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
27;4.000;;DS1;CO9;0.075;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
27;1.000;;DS1;CO8;0.080;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
27;4.000;;DS1;CO9;0.001;SP3200.01;Section Proof | Shear in y-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
27;4.000;;DS1;CO7;0.001;SP3200.02;Section Proof | Shear in y-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
27;3.500;11;DS1;CO9;0.112;SP3400.01;Section Proof | Shear and torsion acc. to EN 1993-1-1, 6.2.6(4) and 6.2.7(5) | Elastic design
27;0.000;11;DS1;CO8;0.111;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
27;0.000;;DS1;CO1;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
27;4.000;;DS1;CO7;0.510;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
27;4.000;4;DS1;CO8;0.589;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
27;3.500;1;DS1;CO7;0.555;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
27;4.000;;DS1;CO7;0.510;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
27;0.000;;DS1;CO1;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
27;0.000;;DS1;CO7;0.140;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
27;0.000;;DS1;CO1;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
27;0.000;;DS1;RC1;1.663;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
27;0.000;;DS2;CO20;0.000;SE0100.00;Serviceability | Negligible deflections
27;2.500;;DS2;CO26;0.139;SE1100.00;Serviceability | Deflections in z-direction
27;2.000;;DS2;CO28;0.027;SE1200.00;Serviceability | Deflections in y-direction
27;3.000;;DS1;CO9;Warning;WA5001.00;Warning | Torsion is neglected for stability design checks
27;;;;;;;
28;Beam | 1 - IPE 500 | L : 4.000 m;;;;;;
28;0.000;;DS1;RC1;0.000;SP0100.00;Section Proof | Negligible internal forces
28;0.000;;DS1;CO5;0.036;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
28;4.000;1;DS1;CO9;0.025;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
28;4.000;;DS1;CO8;0.075;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
28;1.000;;DS1;CO5;0.080;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
28;4.000;;DS1;CO9;0.001;SP3200.01;Section Proof | Shear in y-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
28;4.000;;DS1;CO4;0.001;SP3200.02;Section Proof | Shear in y-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
28;3.500;11;DS1;CO9;0.112;SP3400.01;Section Proof | Shear and torsion acc. to EN 1993-1-1, 6.2.6(4) and 6.2.7(5) | Elastic design
28;0.000;11;DS1;CO9;0.110;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
28;0.000;;DS1;CO1;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
28;4.000;;DS1;CO5;0.506;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
28;4.000;18;DS1;CO9;0.588;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
28;3.500;14;DS1;CO9;0.532;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
28;4.000;;DS1;CO5;0.506;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
28;0.000;;DS1;CO1;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
28;0.000;;DS1;CO5;0.140;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
28;0.000;;DS1;CO1;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
28;0.000;;DS1;RC1;1.657;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
28;0.000;;DS2;CO20;0.000;SE0100.00;Serviceability | Negligible deflections
28;2.500;;DS2;CO24;0.137;SE1100.00;Serviceability | Deflections in z-direction
28;2.000;;DS2;CO28;0.027;SE1200.00;Serviceability | Deflections in y-direction
28;2.667;;DS1;CO19;Warning;WA5001.00;Warning | Torsion is neglected for stability design checks
28;;;;;;;
29;Beam | 1 - IPE 500 | L : 1.650 m;;;;;;
29;0.000;;DS1;RC1;0.000;SP0100.00;Section Proof | Negligible internal forces
29;0.000;;DS1;CO5;0.026;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
29;1.650;1;DS1;CO11;0.027;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
29;1.155;;DS1;CO13;0.042;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
29;0.000;;DS1;CO5;0.098;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
29;1.650;11;DS1;CO6;0.134;SP3400.01;Section Proof | Shear and torsion acc. to EN 1993-1-1, 6.2.6(4) and 6.2.7(5) | Elastic design
29;0.000;11;DS1;CO9;0.129;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
29;0.000;;DS1;CO1;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
29;0.000;;DS1;CO5;0.506;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
29;0.000;21;DS1;CO16;0.415;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
29;0.000;14;DS1;CO9;0.580;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
29;0.000;;DS1;CO5;0.506;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
29;0.000;;DS1;CO1;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
29;0.000;;DS1;CO1;0.000;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
29;0.000;;DS1;CO1;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
29;0.990;;DS1;RC1;0.609;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
29;0.000;;DS2;CO20;0.000;SE0100.00;Serviceability | Negligible deflections
29;0.660;;DS2;RC2;0.096;SE1100.00;Serviceability | Deflections in z-direction
29;0.000;;DS1;CO11;Warning;WA5001.00;Warning | Torsion is neglected for stability design checks
29;;;;;;;
30;Beam | 1 - IPE 500 | L : 1.575 m;;;;;;
30;0.000;;DS1;RC1;0.000;SP0100.00;Section Proof | Negligible internal forces
30;0.000;;DS1;CO5;0.025;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
30;0.000;;DS1;CO5;0.043;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
30;0.000;11;DS1;CO9;0.056;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
30;0.000;;DS1;CO1;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
30;1.575;;DS1;CO7;0.232;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
30;1.575;8;DS1;CO8;0.295;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
30;1.575;;DS1;CO7;0.232;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
30;0.000;;DS1;CO1;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
30;0.000;;DS1;CO1;0.000;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
30;0.000;;DS1;CO1;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
30;0.000;;DS1;RC1;0.311;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
30;0.000;;DS2;CO20;0.000;SE0100.00;Serviceability | Negligible deflections
30;0.787;;DS2;CO26;0.039;SE1100.00;Serviceability | Deflections in z-direction
30;0.630;;DS2;CO32;0.002;SE1200.00;Serviceability | Deflections in y-direction
30;;;;;;;
31;Beam | 1 - IPE 500 | L : 0.150 m;;;;;;
31;0.000;;DS1;RC1;0.000;SP0100.00;Section Proof | Negligible internal forces
31;0.150;;DS1;CO7;0.023;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
31;0.000;;DS1;CO5;0.009;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
31;0.000;11;DS1;CO15;0.011;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
31;0.000;;DS1;CO1;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
31;0.150;;DS1;CO8;0.294;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
31;0.150;1;DS1;CO9;0.357;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
31;0.150;;DS1;CO8;0.294;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
31;0.000;;DS1;CO1;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
31;0.000;;DS1;CO1;0.000;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
31;0.000;;DS1;CO1;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
31;0.105;;DS1;RC1;0.375;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
31;0.000;;DS2;CO20;0.000;SE0100.00;Serviceability | Negligible deflections
31;0.075;;DS2;CO27;0.006;SE1100.00;Serviceability | Deflections in z-direction
31;;;;;;;
32;Beam | 1 - IPE 500 | L : 0.075 m;;;;;;
32;0.000;;DS1;RC1;0.000;SP0100.00;Section Proof | Negligible internal forces
32;0.075;;DS1;CO7;0.025;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
32;0.075;;DS1;CO7;0.044;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
32;0.075;11;DS1;CO8;0.057;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
32;0.000;;DS1;CO1;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
32;0.000;;DS1;CO5;0.135;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
32;0.000;8;DS1;CO9;0.179;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
32;0.000;;DS1;CO5;0.135;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
32;0.000;;DS1;CO1;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
32;0.000;;DS1;CO1;0.000;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
32;0.000;;DS1;CO1;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
32;0.075;;DS1;RC1;0.191;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
32;0.000;;DS2;CO20;0.000;SE0100.00;Serviceability | Negligible deflections
32;;;;;;;
33;Beam | 1 - IPE 500 | L : 4.000 m;;;;;;
33;0.000;;DS1;RC1;0.000;SP0100.00;Section Proof | Negligible internal forces
33;0.000;;DS1;CO7;0.036;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
33;4.000;1;DS1;CO9;0.025;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
33;4.000;;DS1;CO9;0.074;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
33;1.000;;DS1;CO8;0.081;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
33;4.000;;DS1;CO9;0.001;SP3200.01;Section Proof | Shear in y-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
33;4.000;;DS1;CO7;0.001;SP3200.02;Section Proof | Shear in y-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
33;3.500;11;DS1;CO9;0.112;SP3400.01;Section Proof | Shear and torsion acc. to EN 1993-1-1, 6.2.6(4) and 6.2.7(5) | Elastic design
33;0.000;11;DS1;CO8;0.112;SP3400.02;Section Proof | Shear acc. to EN 1993-1-1, 6.2.6(4) | Elastic design
33;0.000;;DS1;CO1;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
33;4.000;;DS1;CO7;0.509;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
33;4.000;4;DS1;CO8;0.591;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
33;3.500;1;DS1;CO7;0.554;SP6200.00;Section Proof | Bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.2, 6.2.9.3, 6.2.10 | Elastic design
33;4.000;;DS1;CO7;0.509;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
33;0.000;;DS1;CO1;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
33;0.000;;DS1;CO7;0.140;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
33;0.000;;DS1;CO1;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
33;0.000;;DS1;RC1;1.662;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
33;0.000;;DS2;CO20;0.000;SE0100.00;Serviceability | Negligible deflections
33;2.500;;DS2;CO26;0.139;SE1100.00;Serviceability | Deflections in z-direction
33;2.000;;DS2;CO28;0.027;SE1200.00;Serviceability | Deflections in y-direction
33;2.667;;DS1;CO19;Warning;WA5001.00;Warning | Torsion is neglected for stability design checks
33;;;;;;;
34;Beam | 2 - HEA 160 | L : 4.000 m;;;;;;
34;0.000;;DS1;RC1;0.000;SP0100.00;Section Proof | Negligible internal forces
34;0.000;;DS1;CO7;0.014;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
34;0.000;;DS1;CO19;0.031;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
34;0.000;;DS1;CO17;0.013;SP3200.02;Section Proof | Shear in y-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
34;0.000;;DS1;CO1;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
34;2.000;;DS1;CO19;0.098;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
34;1.738;;DS1;CO17;0.164;SP5100.03;Section Proof | Bending about z-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
34;1.738;;DS1;CO17;0.165;SP6500.01;Section Proof | Biaxial bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
34;4.000;;DS1;CO3;0.086;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
34;1.000;;DS1;CO7;0.083;SP6500.03;Section Proof | Bending about z-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
34;0.000;;DS1;CO1;0.000;ST1100.00;Stability | Flexural buckling about principal y-axis acc. to EN 1993-1-1, 6.3.1
34;0.000;;DS1;CO7;0.066;ST1300.00;Stability | Flexural buckling about principal z-axis acc. to EN 1993-1-1, 6.3.1
34;0.000;;DS1;CO1;0.000;ST1500.00;Stability | Torsional buckling acc. to EN 1993-1-1, 6.3.1
34;0.000;;DS1;RC1;0.410;ST3100.00;Stability | Bending and buckling about principal axes acc. to EN 1993-1-1, 6.3.3
34;0.000;;DS2;CO20;0.000;SE0100.00;Serviceability | Negligible deflections
34;2.000;;DS2;CO38;0.146;SE1100.00;Serviceability | Deflections in z-direction
34;2.000;;DS2;CO36;0.284;SE1200.00;Serviceability | Deflections in y-direction
34;;;;;;;
35;Beam | 3 - HEA 140 | L : 1.650 m;;;;;;
35;0.000;;DS1;RC1;0.000;SP0100.00;Section Proof | Negligible internal forces
35;1.650;;DS1;CO14;0.007;SP1100.00;Section Proof | Tension acc. to EN 1993-1-1, 6.2.3
35;0.000;;DS1;CO17;0.007;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
35;0.000;1;DS1;CO17;0.095;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
35;0.000;;DS1;CO7;0.051;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
35;0.000;;DS1;CO3;0.049;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
35;0.000;;DS1;CO12;0.006;SP3200.01;Section Proof | Shear in y-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
35;0.000;;DS1;CO11;0.002;SP3200.02;Section Proof | Shear in y-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
35;0.000;;DS1;CO1;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
35;0.000;;DS1;CO7;0.147;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
35;1.650;;DS1;CO12;0.112;SP5100.03;Section Proof | Bending about z-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
35;1.650;1;DS1;CO17;0.274;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
35;1.650;;DS1;CO17;0.116;SP6500.01;Section Proof | Biaxial bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
35;0.000;;DS1;CO7;0.147;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
35;0.495;;DS1;CO18;0.032;SP6500.03;Section Proof | Bending about z-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
35;1.650;;DS1;CO15;0.064;SP6500.04;Section Proof | Biaxial bending and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
35;0.000;;DS2;CO20;0.000;SE0100.00;Serviceability | Negligible deflections
35;1.031;;DS2;CO38;0.031;SE1100.00;Serviceability | Deflections in z-direction
35;0.990;;DS2;CO31;0.073;SE1200.00;Serviceability | Deflections in y-direction
35;;;;;;;
36;Beam | 3 - HEA 140 | L : 1.575 m;;;;;;
36;0.000;;DS1;RC1;0.000;SP0100.00;Section Proof | Negligible internal forces
36;1.575;;DS1;CO13;0.006;SP1100.00;Section Proof | Tension acc. to EN 1993-1-1, 6.2.3
36;0.000;;DS1;CO17;0.007;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
36;0.591;1;DS1;CO17;0.046;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
36;0.000;;DS1;CO9;0.059;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
36;0.000;;DS1;CO4;0.058;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
36;0.000;;DS1;CO17;0.008;SP3200.01;Section Proof | Shear in y-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
36;1.260;;DS1;CO6;0.001;SP3200.02;Section Proof | Shear in y-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
36;0.000;;DS1;CO1;0.000;SP3500.00;Section Proof | Shear buckling acc. to EN 1993-1-5, 5.1, 5.2, 5.3 and 5.5
36;0.000;;DS1;CO5;0.231;SP4100.03;Section Proof | Bending about y-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
36;0.000;;DS1;CO17;0.144;SP5100.03;Section Proof | Bending about z-axis acc. to EN 1993-1-1, 6.2.5 | Plastic design
36;0.000;21;DS1;CO17;0.395;SP6100.00;Section Proof | Axial and shear stress acc. to EN 1993-1-1, 6.2.1(5) | Elastic design
36;0.000;;DS1;CO17;0.166;SP6500.01;Section Proof | Biaxial bending, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
36;0.000;;DS1;CO4;0.224;SP6500.02;Section Proof | Bending about y-axis, axial force and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
36;0.000;;DS1;CO6;0.075;SP6500.04;Section Proof | Biaxial bending and shear acc. to EN 1993-1-1, 6.2.9.1 and 6.2.10 | Plastic design
36;0.000;;DS2;CO20;0.000;SE0100.00;Serviceability | Negligible deflections
36;0.591;;DS2;CO28;0.066;SE1100.00;Serviceability | Deflections in z-direction
36;0.591;;DS2;CO36;0.051;SE1200.00;Serviceability | Deflections in y-direction
36;;;;;;;
37;Beam | 3 - HEA 140 | L : 0.150 m;;;;;;
37;0.000;;DS1;RC1;0.000;SP0100.00;Section Proof | Negligible internal forces
37;0.000;;DS1;CO13;0.008;SP1100.00;Section Proof | Tension acc. to EN 1993-1-1, 6.2.3
37;0.150;;DS1;CO15;0.005;SP1200.00;Section Proof | Compression acc. to EN 1993-1-1, 6.2.4
37;0.131;1;DS1;CO15;0.083;SP2100.00;Section Proof | Torsion acc. to EN 1993-1-1, 6.2.7
37;0.000;;DS1;CO7;0.078;SP3100.01;Section Proof | Shear in z-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
37;0.000;;DS1;CO4;0.076;SP3100.02;Section Proof | Shear in z-axis acc. to EN 1993-1-1, 6.2.6(2) | Plastic design
37;0.000;;DS1;CO19;0.006;SP3200.01;Section Proof | Shear in y-axis and torsion acc. to EN 1993-1-1, 6.2.7(9) | Plastic design
